date,ticker,marketCap,size_category,Total Cash From Operating Activities,Net Income,Depreciation And Amortization,Change In Working Capital,Total Revenue,Gross Profit,Operating Income,Total Assets,Accounts Receivable,Inventory,Accounts Payable
2024-05-31,ACN,148639334400,Large-Cap,,1932183000.0,271229000.0,110641000.0,16466828000.0,5498451000.0,2630865000.0,54141319000.0,13199388000.0,,2251330000.0
2024-08-31,ACN,148639334400,Large-Cap,,1684301000.0,307270000.0,764020000.0,16405819000.0,5337456000.0,2353668000.0,55932363000.0,11873442000.0,,2743807000.0
2024-11-30,ACN,148639334400,Large-Cap,,2278894000.0,218423000.0,-2372788000.0,17689545000.0,5822829000.0,2948477000.0,59868070000.0,12590544000.0,,2579165000.0
2025-02-28,ACN,148639334400,Large-Cap,,1788075000.0,360861000.0,-281538000.0,16659301000.0,4974988000.0,2244714000.0,59869756000.0,12437308000.0,,2614866000.0
2025-05-31,ACN,148639334400,Large-Cap,,2197501000.0,292005000.0,331253000.0,17727871000.0,5826650000.0,2982782000.0,63362028000.0,13118525000.0,,2678917000.0
2025-08-31,ACN,148639334400,Large-Cap,,,,,,,,,,,
2024-02-29,ADBE,150850879488,Large-Cap,,,,,,,,,,,
2024-05-31,ADBE,150850879488,Large-Cap,,,,,,,,,,,
2024-08-31,ADBE,150850879488,Large-Cap,,1684000000.0,213000000.0,-259000000.0,5408000000.0,4854000000.0,1992000000.0,29830000000.0,1802000000.0,,318000000.0
2024-11-30,ADBE,150850879488,Large-Cap,,1683000000.0,218000000.0,617000000.0,5606000000.0,4990000000.0,1957000000.0,30230000000.0,2072000000.0,,361000000.0
2025-02-28,ADBE,150850879488,Large-Cap,,1811000000.0,217000000.0,131000000.0,5714000000.0,5092000000.0,2163000000.0,29955000000.0,1973000000.0,,326000000.0
2025-05-31,ADBE,150850879488,Large-Cap,,1691000000.0,209000000.0,-89000000.0,5873000000.0,5235000000.0,2109000000.0,28107000000.0,1735000000.0,,360000000.0
2025-08-31,ADBE,150850879488,Large-Cap,,1772000000.0,208000000.0,-178000000.0,5988000000.0,5346000000.0,2173000000.0,28754000000.0,2093000000.0,,337000000.0
2024-01-31,ADI,121788481536,Large-Cap,,,,,,,,,,,
2024-04-30,ADI,121788481536,Large-Cap,,,,,,,,,,,
2024-07-31,ADI,121788481536,Large-Cap,,392232000.0,530307000.0,-36801000.0,2312209000.0,1311239000.0,503601000.0,48618374000.0,1127158000.0,1427936000.0,424735000.0
2024-10-31,ADI,121788481536,Large-Cap,,478072000.0,520461000.0,80609000.0,2443205000.0,1416128000.0,572251000.0,48228277000.0,1336331000.0,1447687000.0,487457000.0
2025-01-31,ADI,121788481536,Large-Cap,,391316000.0,515603000.0,202569000.0,2423174000.0,1430303000.0,555200000.0,47967546000.0,1192442000.0,1474656000.0,368939000.0
2025-04-30,ADI,121788481536,Large-Cap,,569770000.0,500607000.0,-238816000.0,2640068000.0,1611610000.0,679689000.0,47344487000.0,1382365000.0,1524897000.0,429405000.0
2025-07-31,ADI,121788481536,Large-Cap,,518518000.0,487292000.0,28239000.0,2880348000.0,1789748000.0,822376000.0,48192601000.0,1553259000.0,1596853000.0,490723000.0
2023-12-31,ADM,29116147712,Large-Cap,,,,,,,,,,,
2024-03-31,ADM,29116147712,Large-Cap,,,,,,,,,,,
2024-06-30,ADM,29116147712,Large-Cap,,486000000.0,286000000.0,-342000000.0,22248000000.0,1396000000.0,489000000.0,52698000000.0,5194000000.0,10443000000.0,5035000000.0
2024-09-30,ADM,29116147712,Large-Cap,,18000000.0,288000000.0,651000000.0,19937000000.0,1365000000.0,460000000.0,52199000000.0,4664000000.0,10746000000.0,4911000000.0
2024-12-31,ADM,29116147712,Large-Cap,,567000000.0,287000000.0,-619000000.0,21498000000.0,1358000000.0,415000000.0,53271000000.0,4580000000.0,11572000000.0,5535000000.0
2025-03-31,ADM,29116147712,Large-Cap,,295000000.0,287000000.0,-781000000.0,20175000000.0,1180000000.0,248000000.0,53402000000.0,5548000000.0,11550000000.0,5151000000.0
2025-06-30,ADM,29116147712,Large-Cap,,219000000.0,291000000.0,3504000000.0,21166000000.0,1370000000.0,459000000.0,51996000000.0,4819000000.0,9723000000.0,4475000000.0
2023-12-31,ADP,118099795968,Large-Cap,,,,,,,,,,,
2024-03-31,ADP,118099795968,Large-Cap,,,,,,,,,,,
2024-06-30,ADP,118099795968,Large-Cap,,829300000.0,135700000.0,40300000.0,4768500000.0,2136900000.0,1101600000.0,54362700000.0,3428200000.0,,100600000.0
2024-09-30,ADP,118099795968,Large-Cap,,956300000.0,138600000.0,-646900000.0,4832700000.0,2199000000.0,1272300000.0,49511400000.0,3316700000.0,,145200000.0
2024-12-31,ADP,118099795968,Large-Cap,,963200000.0,151100000.0,-312200000.0,5048400000.0,2305900000.0,1299800000.0,64096700000.0,3503500000.0,,186400000.0
2025-03-31,ADP,118099795968,Large-Cap,,1249500000.0,147000000.0,-204200000.0,5553000000.0,2648800000.0,1633000000.0,56448600000.0,3547900000.0,,146300000.0
2025-06-30,ADP,118099795968,Large-Cap,,910700000.0,145700000.0,17800000.0,5126800000.0,2309900000.0,1206800000.0,53369300000.0,3579100000.0,,169100000.0
